search number, title, link
000, SS4A-2023-Implementation-Grant-Award- ..., https://www.transportation.gov/sites/dot.gov/files/2023-12/SS4A-2023-Implementation-Grant-Award-Fact-Sheets.pdf
001, USDOT Fiscal Year 2023 Safe Streets and Roads for All ..., https://www.federalregister.gov/documents/2023/04/12/2023-07716/usdot-fiscal-year-2023-safe-streets-and-roads-for-all-funding
002, SAFE STREETS AND ROADS FOR ALL SAFETY ACTION PLAN, https://d144uep0xgc2gz.cloudfront.net/downloads/SS4A/Safety-Action-Plan/IMPO-CSAP-6.26.23.pdf
003, U.S. Department of Transportation Fiscal Year 2023 Safe ..., https://dot.ca.gov/programs/local-assistance/fed-and-state-programs/-/media/9959ee5eefc14880b5d86d073d1a257f.ashx
004, Safe Streets and Roads for All (SS4A) Grant Program, https://www.transportation.gov/grants/SS4A
000, Staff Report: Z-56-22-4 22nd & Indian School PUD ..., https://www.phoenix.gov/pddsite/Documents/PZ/Z-56-22%20Staff%20Report.pdf
001, FY 2023 Project AWARE, https://www.samhsa.gov/sites/default/files/grants/pdf/fy-2023-project-aware-nofo.pdf
002, RFP-2023-342-SS4A-Safety-Action-Plan.pdf, https://ocgov.net/assets/Planning/Docs/RFP-2023-342-SS4A-Safety-Action-Plan.pdf
003, Staff Report: PHO-1-23--Z-9-19-4, https://www.phoenix.gov/pddsite/Documents/PZ/Staff%20Report%20PHO-1-23--Z-9-19.pdf
004, fiscal year 2023 - performance plan, https://www.transportation.gov/sites/dot.gov/files/2022-03/FY_2023_Performance_Plan_0.pdf
