,,,,,,,,,,
,,,,,,,,,,
Program name,Name of Project,Narrative,Project Description Letter of Support,LOS,Budget,Benefits ,Map ,Project map,Action plan,Safety Action Plan 
Safe Street for all 2023,"Safe Streets and Roads for Fayetteville, Arkansas - Accelerating Change Toward Vision Zero",,,,,,,,,
Safe Street for all 2024,SS4A Implementation Grant for the Highway 141 and E. Johnson Avenue Corridors in Jonesboro AR,,,,,,,,,
Safe Street for all 2025,Butler Avenue Complete Streets Conversion,,,,,,,,,
Safe Street for all 2026,ReVISIONing Indian School Road,,,,,,,,,
Safe Street for all 2027,Foothill Boulevard Safety Improvements,,,,,,,,,
Safe Street for all 2028,Equitable Complete Streets for Challenger Way Corridor,,,,,,,,,
Safe Street for all 2029,South Main Street Complete Streets Project,,,,,,,,,
Safe Street for all 2030,Williams Road Safe Street Corridor Project,,,,,,,,,
Safe Street for all 2031,San José Safety at Key Intersections,,,,,,,,,
Safe Street for all 2032,Citywide Systemic Safety Enhancements Project,,,,,,,,,
Safe Street for all 2033,Tenderloin Community Safe Streets Project,,,,,,,,,
Safe Street for all 2034,Safe Streets for Boulder: Systemic Safety Countermeasure Implementation ,,,,,,,,,
Safe Street for all 2035,Western Connecticut Safety Improvements,,,,,,,,,
Safe Street for all 2036,Advancing Transportation Equity Through Vision Zero in Miami-Dade County,,,,,,,,,
Safe Street for all 2037,Mālama Moaliʻi: Keawe Street Improvements,,,,,,,,,
Safe Street for all 2038,Road Safety Improvements in Accordance with Webster County's Local Road Safety Plan,,,,,,,,,
Safe Street for all 2039,Ogden Avenue Corridor Improvements Project,,,,,,,,,
Safe Street for all 2040,Broadway-Taylor Corridors,,,,,,,,,
Safe Street for all 2041,SS4A Implementation Grant for the SS4A Project in Independence in Kansas,,,,,,,,,
Safe Street for all 2042,Safe Streets for Lexington,,,,,,,,,
Safe Street for all 2043,One-Way to Two-Way Conversion of 2nd Street and 3rd Street,,,,,,,,,
Safe Street for all 2044,IMPLEMENTING BOSTON’S NEW TRAFFIC SIGNAL OPERATIONS DESIGN POLICY,,,,,,,,,
Safe Street for all 2045,Protecting Mount Rainier’s Most Vulnerable,,,,,,,,,
Safe Street for all 2046,City of Dearborn Michigan Warren Road Diet,,,,,,,,,
Safe Street for all 2047,Detroit Safe Access to Transit,,,,,,,,,
Safe Street for all 2048,Minneapolis Systematic Street Safety Improvements,,,,,,,,,
Safe Street for all 2049,"A Lifetime of Learning, Walking, & Biking: Systemic Safety for Billings Students",,,,,,,,,
Safe Street for all 2050,Bellevue Avenue Safety Improvements,,,,,,,,,
Safe Street for all 2051,SAFEConnect: Safe Actions Fostering Equitable Connectedness in East Las Vegas,,,,,,,,,
Safe Street for all 2052,Sixth Street for All,,,,,,,,,
Safe Street for all 2053,CDTA Red Line BRT Pedestrian and Transit Safety Improvements,,,,,,,,,
Safe Street for all 2054,Implementation of Queens Boulevard Great Streets Transformation and Supplemental Planning for Vision Zero,,,,,,,,,
Safe Street for all 2055,Broad Street/R.C. Hoag Drive Intersection Improvement Project,,,,,,,,,
Safe Street for all 2056,Broad Street Safe Streets Implementation Grant,,,,,,,,,
Safe Street for all 2057,Complete & Safe Streets Philadelphia: Vision Zero High Injury Network Corridors ,,,,,,,,,
Safe Street for all 2058,Implementation of Safety Action Plan Priority Projects,,,,,,,,,
Safe Street for all 2059,"SAFER Knoxville, Strategic Action towards Fatality Elimination on Roadways",,,,,,,,,
Safe Street for all 2060,We Are Nolensville Pike,,,,,,,,,
Safe Street for all 2061,MLK Jr./Cedar Crest Blvd Complete Street & Safety Upgrades,,,,,,,,,
Safe Street for all 2062,Prioritizing Vulnerable Roadway Users in El Paso Network-Wide Safety Improvements along El Paso’s High Injury Network,,,,,,,,,
Safe Street for all 2063,Greater Northside and International Districts Safe Streets Project	,,,,,,,,,
Safe Street for all 2064,"Safe and Equitable Streets in Richmond, VA",,,,,,,,,
Safe Street for all 2065,Virginia Beach Trail Phase 1: A Regional Connector,,,,,,,,,
